chemical.id,conc,plate.id,well,endpoint,value
3861,6.45,20619,D10,MO24,0
3861,6.45,20619,D11,MO24,0
3861,6.45,20619,D12,MO24,0
3861,16.4,20581,E01,MO24,1
3861,16.4,20581,E02,MO24,0
3861,16.4,20581,E03,MO24,0
3861,16.4,20581,E04,MO24,1
3861,16.4,20581,E05,MO24,0
3861,16.4,20581,E06,MO24,0
3861,16.4,20581,E07,MO24,1
3861,16.4,20581,E08,MO24,0
3861,16.4,20581,E09,MO24,0
3861,16.4,20581,E10,MO24,0
3861,16.4,20581,E11,MO24,1
3861,16.4,20581,E12,MO24,0
3861,16.4,20618,E01,MO24,0
3861,16.4,20618,E02,MO24,0
3861,16.4,20618,E03,MO24,1
3861,16.4,20618,E04,MO24,1
3861,16.4,20618,E05,MO24,0
3861,16.4,20618,E06,MO24,0
3861,16.4,20618,E07,MO24,1
3861,16.4,20618,E08,MO24,0
3861,16.4,20618,E09,MO24,1
3861,16.4,20618,E10,MO24,1
3861,16.4,20618,E11,MO24,0
3861,16.4,20618,E12,MO24,0
3861,16.4,20619,E01,MO24,0
3861,16.4,20619,E02,MO24,0
3861,16.4,20619,E03,MO24,0
3861,16.4,20619,E04,MO24,0
3861,16.4,20619,E05,MO24,0
3861,16.4,20619,E06,MO24,0
3861,16.4,20619,E07,MO24,0
3861,16.4,20619,E08,MO24,0
3861,16.4,20619,E09,MO24,0
3861,16.4,20619,E10,MO24,0
3861,16.4,20619,E11,MO24,0
3861,16.4,20619,E12,MO24,0
3861,35,20581,F01,MO24,0
3861,35,20581,F02,MO24,0
3861,35,20581,F03,MO24,1
3861,35,20581,F04,MO24,0
3861,35,20581,F05,MO24,1
3861,35,20581,F06,MO24,0
3861,35,20581,F07,MO24,0
3861,35,20581,F08,MO24,
3861,35,20581,F09,MO24,0
3861,35,20581,F10,MO24,0
3861,35,20581,F11,MO24,0
3861,35,20581,F12,MO24,0
3861,35,20618,F01,MO24,0
3861,35,20618,F02,MO24,0
3861,35,20618,F03,MO24,
3861,35,20618,F04,MO24,0
3861,35,20618,F05,MO24,
3861,35,20618,F06,MO24,1
3861,35,20618,F07,MO24,0
3861,35,20618,F08,MO24,0
3861,35,20618,F09,MO24,1
3861,35,20618,F10,MO24,0
3861,35,20618,F11,MO24,0
3861,35,20618,F12,MO24,0
3861,35,20619,F01,MO24,0
3861,35,20619,F02,MO24,0
3861,35,20619,F03,MO24,0
3861,35,20619,F04,MO24,0
3861,35,20619,F05,MO24,0
3861,35,20619,F06,MO24,0
3861,35,20619,F07,MO24,0
3861,35,20619,F08,MO24,0
3861,35,20619,F09,MO24,0
3861,35,20619,F10,MO24,0
3861,35,20619,F11,MO24,0
3861,35,20619,F12,MO24,0
3861,74.8,20581,G01,MO24,0
3861,74.8,20581,G02,MO24,1
3861,74.8,20581,G03,MO24,1
3861,74.8,20581,G04,MO24,1
3861,74.8,20581,G05,MO24,1
3861,74.8,20581,G06,MO24,1
3861,74.8,20581,G07,MO24,1
3861,74.8,20581,G08,MO24,1
3861,74.8,20581,G09,MO24,0
3861,74.8,20581,G10,MO24,1
3861,74.8,20581,G11,MO24,0
3861,74.8,20581,G12,MO24,1
3861,74.8,20618,G01,MO24,0
3861,74.8,20618,G02,MO24,1
3861,74.8,20618,G03,MO24,1
3861,74.8,20618,G04,MO24,1
3861,74.8,20618,G05,MO24,1
3861,74.8,20618,G06,MO24,1
3861,74.8,20618,G07,MO24,1
3861,74.8,20618,G08,MO24,1
3861,74.8,20618,G09,MO24,1
3861,74.8,20618,G10,MO24,1
3861,74.8,20618,G11,MO24,0
3861,74.8,20618,G12,MO24,1
3861,74.8,20619,G01,MO24,0
3861,74.8,20619,G02,MO24,0
3861,74.8,20619,G03,MO24,0
3861,74.8,20619,G04,MO24,1
3861,74.8,20619,G05,MO24,1
3861,74.8,20619,G06,MO24,1
3861,74.8,20619,G07,MO24,1
3861,74.8,20619,G08,MO24,1
3861,74.8,20619,G09,MO24,0
3861,74.8,20619,G10,MO24,0
3861,74.8,20619,G11,MO24,0
3861,74.8,20619,G12,MO24,0
3861,100,20581,H01,MO24,1
3861,100,20581,H02,MO24,1
3861,100,20581,H03,MO24,1
3861,100,20581,H04,MO24,1
3861,100,20581,H05,MO24,1
3861,100,20581,H06,MO24,1
3861,100,20581,H07,MO24,1
3861,100,20581,H08,MO24,1
3861,100,20581,H09,MO24,1
3861,100,20581,H10,MO24,1
3861,100,20581,H11,MO24,1
3861,100,20581,H12,MO24,1
3861,100,20618,H01,MO24,1
3861,100,20618,H02,MO24,1
3861,100,20618,H03,MO24,1
3861,100,20618,H04,MO24,1
3861,100,20618,H05,MO24,1
3861,100,20618,H06,MO24,1
3861,100,20618,H07,MO24,1
3861,100,20618,H08,MO24,0
3861,100,20618,H09,MO24,1
3861,100,20618,H10,MO24,1
3861,100,20618,H11,MO24,1
3861,100,20618,H12,MO24,1
3861,100,20619,H01,MO24,1
3861,100,20619,H02,MO24,1
3861,100,20619,H03,MO24,1
3861,100,20619,H04,MO24,1
3861,100,20619,H05,MO24,1
3861,100,20619,H06,MO24,1
3861,100,20619,H07,MO24,0
3861,100,20619,H08,MO24,1
3861,100,20619,H09,MO24,1
3861,100,20619,H10,MO24,1
3861,100,20619,H11,MO24,1
3861,100,20619,H12,MO24,1
3863,0,20312,A01,MO24,0
3863,0,20312,A02,MO24,0
3863,0,20312,A03,MO24,0
3863,0,20312,A04,MO24,1
3863,0,20312,A05,MO24,0
3863,0,20312,A06,MO24,0
3863,0,20312,A07,MO24,0
3863,0,20312,A08,MO24,0
3863,0,20312,A09,MO24,0
3863,0,20312,A10,MO24,0
3863,0,20312,A11,MO24,0
3863,0,20312,A12,MO24,0
3863,0,20627,A01,MO24,0
3863,0,20627,A02,MO24,0
3863,0,20627,A03,MO24,0
3863,0,20627,A04,MO24,0
3863,0,20627,A05,MO24,0
3863,0,20627,A06,MO24,1
3863,0,20627,A07,MO24,0
3863,0,20627,A08,MO24,0
3863,0,20627,A09,MO24,0
3863,0,20627,A10,MO24,0
3863,0,20627,A11,MO24,0
3863,0,20627,A12,MO24,0
3863,0,20637,A01,MO24,0
3863,0,20637,A02,MO24,0
3863,0,20637,A03,MO24,1
3863,0,20637,A04,MO24,0
3863,0,20637,A05,MO24,0
3863,0,20637,A06,MO24,0
3863,0,20637,A07,MO24,0
3863,0,20637,A08,MO24,0
3863,0,20637,A09,MO24,0
3863,0,20637,A10,MO24,0
3863,0,20637,A11,MO24,0
3863,0,20637,A12,MO24,0
3863,0.1,20312,B01,MO24,0
3863,0.1,20312,B02,MO24,1
3863,0.1,20312,B03,MO24,1
3863,0.1,20312,B04,MO24,0
3863,0.1,20312,B05,MO24,0
3863,0.1,20312,B06,MO24,0
3863,0.1,20312,B07,MO24,0
3863,0.1,20312,B08,MO24,1
3863,0.1,20312,B09,MO24,0
3863,0.1,20312,B10,MO24,0
3863,0.1,20312,B11,MO24,0
3863,0.1,20312,B12,MO24,0
3863,0.1,20627,B01,MO24,0
3863,0.1,20627,B02,MO24,0
3863,0.1,20627,B03,MO24,0
3863,0.1,20627,B04,MO24,0
3863,0.1,20627,B05,MO24,1
3863,0.1,20627,B06,MO24,0
3863,0.1,20627,B07,MO24,0
3863,0.1,20627,B08,MO24,0
3863,0.1,20627,B09,MO24,0
3863,0.1,20627,B10,MO24,0
3863,0.1,20627,B11,MO24,0
3863,0.1,20627,B12,MO24,0
3863,0.1,20637,B01,MO24,0
3863,0.1,20637,B02,MO24,1
3863,0.1,20637,B03,MO24,0
3863,0.1,20637,B04,MO24,0
3863,0.1,20637,B05,MO24,0
3863,0.1,20637,B06,MO24,0
3863,0.1,20637,B07,MO24,1
3863,0.1,20637,B08,MO24,1
3863,0.1,20637,B09,MO24,0
3863,0.1,20637,B10,MO24,0
3863,0.1,20637,B11,MO24,0
3863,0.1,20637,B12,MO24,0
3863,0.254,20312,C01,MO24,0
3863,0.254,20312,C02,MO24,1
3863,0.254,20312,C03,MO24,0
3863,0.254,20312,C04,MO24,0
3863,0.254,20312,C05,MO24,0
3863,0.254,20312,C06,MO24,0
3863,0.254,20312,C07,MO24,1
3863,0.254,20312,C08,MO24,0
3863,0.254,20312,C09,MO24,0
3863,0.254,20312,C10,MO24,0
3863,0.254,20312,C11,MO24,0
3863,0.254,20312,C12,MO24,0
3863,0.254,20627,C01,MO24,0
3863,0.254,20627,C02,MO24,0
3863,0.254,20627,C03,MO24,0
3863,0.254,20627,C04,MO24,1
3863,0.254,20627,C05,MO24,0
3863,0.254,20627,C06,MO24,0
3863,0.254,20627,C07,MO24,0
3863,0.254,20627,C08,MO24,1
3863,0.254,20627,C09,MO24,0
3863,0.254,20627,C10,MO24,0
3863,0.254,20627,C11,MO24,0
3863,0.254,20627,C12,MO24,1
3863,0.254,20637,C01,MO24,0
3863,0.254,20637,C02,MO24,0
3863,0.254,20637,C03,MO24,0
3863,0.254,20637,C04,MO24,1
3863,0.254,20637,C05,MO24,0
3863,0.254,20637,C06,MO24,0
3863,0.254,20637,C07,MO24,0
3863,0.254,20637,C08,MO24,0
3863,0.254,20637,C09,MO24,0
3863,0.254,20637,C10,MO24,0
3863,0.254,20637,C11,MO24,1
3863,0.254,20637,C12,MO24,0
3863,0.645,20312,D01,MO24,0
3863,0.645,20312,D02,MO24,0
3863,0.645,20312,D03,MO24,0
3863,0.645,20312,D04,MO24,0
3863,0.645,20312,D05,MO24,0
3863,0.645,20312,D06,MO24,0
3863,0.645,20312,D07,MO24,0
3863,0.645,20312,D08,MO24,0
3863,0.645,20312,D09,MO24,0
3863,0.645,20312,D10,MO24,0
3863,0.645,20312,D11,MO24,0
3863,0.645,20312,D12,MO24,0
3863,0.645,20627,D01,MO24,0
3863,0.645,20627,D02,MO24,1
3863,0.645,20627,D03,MO24,0
3863,0.645,20627,D04,MO24,0
3863,0.645,20627,D05,MO24,0
3863,0.645,20627,D06,MO24,0
3863,0.645,20627,D07,MO24,1
3863,0.645,20627,D08,MO24,0
3863,0.645,20627,D09,MO24,0
3863,0.645,20627,D10,MO24,0
3863,0.645,20627,D11,MO24,0
3863,0.645,20627,D12,MO24,1
3863,0.645,20637,D01,MO24,0
3863,0.645,20637,D02,MO24,0
3863,0.645,20637,D03,MO24,0
3863,0.645,20637,D04,MO24,0
3863,0.645,20637,D05,MO24,0
3863,0.645,20637,D06,MO24,0
3863,0.645,20637,D07,MO24,0
3863,0.645,20637,D08,MO24,0
3863,0.645,20637,D09,MO24,0
3863,0.645,20637,D10,MO24,0
3863,0.645,20637,D11,MO24,0
3863,0.645,20637,D12,MO24,0
3863,1.64,20312,E01,MO24,0
3863,1.64,20312,E02,MO24,0
3863,1.64,20312,E03,MO24,0
3863,1.64,20312,E04,MO24,0
3863,1.64,20312,E05,MO24,0
3863,1.64,20312,E06,MO24,0
3863,1.64,20312,E07,MO24,0
3863,1.64,20312,E08,MO24,0
3863,1.64,20312,E09,MO24,0
3863,1.64,20312,E10,MO24,0
3863,1.64,20312,E11,MO24,1
3863,1.64,20312,E12,MO24,0
3863,1.64,20627,E01,MO24,0
3863,1.64,20627,E02,MO24,0
3863,1.64,20627,E03,MO24,0
3863,1.64,20627,E04,MO24,0
3863,1.64,20627,E05,MO24,0
3863,1.64,20627,E06,MO24,0
3863,1.64,20627,E07,MO24,0
3863,1.64,20627,E08,MO24,0
3863,1.64,20627,E09,MO24,0
3863,1.64,20627,E10,MO24,1
3863,1.64,20627,E11,MO24,0
3863,1.64,20627,E12,MO24,0
3863,1.64,20637,E01,MO24,1
3863,1.64,20637,E02,MO24,0
3863,1.64,20637,E03,MO24,1
3863,1.64,20637,E04,MO24,1
3863,1.64,20637,E05,MO24,0
3863,1.64,20637,E06,MO24,0
3863,1.64,20637,E07,MO24,0
3863,1.64,20637,E08,MO24,0
3863,1.64,20637,E09,MO24,0
3863,1.64,20637,E10,MO24,1
3863,1.64,20637,E11,MO24,0
3863,1.64,20637,E12,MO24,0
3863,3.5,20312,F01,MO24,0
3863,3.5,20312,F02,MO24,0
3863,3.5,20312,F03,MO24,0
3863,3.5,20312,F04,MO24,0
3863,3.5,20312,F05,MO24,0
3863,3.5,20312,F06,MO24,0
3863,3.5,20312,F07,MO24,0
3863,3.5,20312,F08,MO24,0
3863,3.5,20312,F09,MO24,0
3863,3.5,20312,F10,MO24,0
3863,3.5,20312,F11,MO24,0
