Chemical ID	Concentration_uM	Endpoint	Measurement
9	4	Endpoint3	56.1020867
9	20	Endpoint3	47.46899313
9	20	Endpoint3	51.60975292
9	20	Endpoint3	104.163547
9	20	Endpoint3	53.79732413
9	100	Endpoint3	52.07851818
9	100	Endpoint3	53.25694196
9	100	Endpoint3	54.18145122
9	100	Endpoint3	60.86135616
9	300	Endpoint3	48.59533188
9	300	Endpoint3	51.75949738
9	300	Endpoint3	53.45877144
9	300	Endpoint3	53.62153716
1	0	Endpoint3	103.566711
1	0	Endpoint3	99.9710024
1	0	Endpoint3	100.061217
1	0	Endpoint3	96.4010697
1	4	Endpoint3	94.84164062
1	4	Endpoint3	91.03972678
1	4	Endpoint3	86.07790701
1	4	Endpoint3	69.7361214
1	20	Endpoint3	114.057415
1	20	Endpoint3	102.729001
1	20	Endpoint3	95.2153881
1	20	Endpoint3	96.8908077
1	100	Endpoint3	96.46550891
1	100	Endpoint3	98.46312466
1	100	Endpoint3	82.34043239
1	100	Endpoint3	71.97860618
1	300	Endpoint3	113.760995
1	300	Endpoint3	110.577698
1	300	Endpoint3	102.883655
1	300	Endpoint3	103.734253
5	0	Endpoint3	103.566711
5	0	Endpoint3	99.9710024
5	0	Endpoint3	100.061217
5	0	Endpoint3	96.4010697
5	4	Endpoint3	86.47743016
5	4	Endpoint3	80.26548958
5	4	Endpoint3	85.24019718
5	4	Endpoint3	85.98769211
5	20	Endpoint3	91.58101621
5	20	Endpoint3	86.24544898
5	20	Endpoint3	80.35570448
5	20	Endpoint3	80.26548958
5	100	Endpoint3	85.3046364
5	100	Endpoint3	85.008216
5	100	Endpoint3	83.26835712
5	100	Endpoint3	75.39388472
5	300	Endpoint3	102.1619358
5	300	Endpoint3	96.68460225
5	300	Endpoint3	93.70751039
5	300	Endpoint3	97.21300383
12	0	Endpoint3	103.566711
12	0	Endpoint3	99.9710024
12	0	Endpoint3	100.061217
12	0	Endpoint3	96.4010697
12	4	Endpoint3	80.20105036
12	4	Endpoint3	74.04066115
12	4	Endpoint3	75.43254825
12	4	Endpoint3	72.68743757
12	20	Endpoint3	94.23591198
12	20	Endpoint3	93.92660373
12	20	Endpoint3	76.24448239
12	20	Endpoint3	74.83970745
12	100	Endpoint3	88.21728904
12	100	Endpoint3	106.427812
12	100	Endpoint3	92.05786642
12	100	Endpoint3	103.0254213
12	300	Endpoint3	107.5490544
12	300	Endpoint3	107.8454748
12	300	Endpoint3	97.03257402
12	300	Endpoint3	94.10703354
13	0	Endpoint3	103.566711
13	0	Endpoint3	99.9710024
13	0	Endpoint3	100.061217
13	0	Endpoint3	96.4010697
13	0.4	Endpoint3	91.23304443
13	0.4	Endpoint3	82.26310533
13	0.4	Endpoint3	88.92612044
13	0.4	Endpoint3	82.46931082
13	4	Endpoint3	99.01730193
13	4	Endpoint3	97.03257402
13	4	Endpoint3	96.92947128
13	4	Endpoint3	92.34139898
13	20	Endpoint3	84.38959951
13	20	Endpoint3	79.86596643
13	20	Endpoint3	92.63781938
13	20	Endpoint3	75.18767922
13	100	Endpoint3	84.57002932
13	100	Endpoint3	89.95714792
13	100	Endpoint3	85.11131875
13	100	Endpoint3	77.64925734
17	0	Endpoint4	164.2512077
17	0	Endpoint4	92.75362319
17	0	Endpoint4	85.02415459
17	0	Endpoint4	57.97101449
17	4	Endpoint4	67.63285024
17	4	Endpoint4	59.90338164
17	4	Endpoint4	44.44444444
17	4	Endpoint4	40.57971014
17	20	Endpoint4	119.8067633
17	20	Endpoint4	44.44444444
17	20	Endpoint4	127.5362319
17	20	Endpoint4	137.1980676
17	100	Endpoint4	114.0096618
17	100	Endpoint4	54.10628019
17	100	Endpoint4	56.03864734
17	100	Endpoint4	79.22705314
17	300	Endpoint4	96.61835749
17	300	Endpoint4	115.942029
17	300	Endpoint4	131.4009662
17	300	Endpoint4	69.56521739
16	0	Endpoint4	164.2512077
16	0	Endpoint4	92.75362319
16	0	Endpoint4	85.02415459
16	0	Endpoint4	57.97101449
16	4	Endpoint4	42.51207729
16	4	Endpoint4	30.9178744
16	4	Endpoint4	65.70048309
16	4	Endpoint4	52.17391304
16	20	Endpoint4	44.44444444
16	20	Endpoint4	73.42995169
16	20	Endpoint4	57.97101449
16	20	Endpoint4	36.71497585
16	100	Endpoint4	476190.4762
16	100	Endpoint4	476190.4762
16	100	Endpoint4	476190.4762
16	100	Endpoint4	476190.4762
16	300	Endpoint4	1428571.429
16	300	Endpoint4	1428571.429
16	300	Endpoint4	1428571.429
16	300	Endpoint4	1428571.429
2	0	Endpoint4	164.2512077
2	0	Endpoint4	92.75362319
2	0	Endpoint4	85.02415459
2	0	Endpoint4	57.97101449
2	4	Endpoint4	50.24154589
2	4	Endpoint4	59.90338164
2	4	Endpoint4	100.4830918
2	4	Endpoint4	371.0144928
2	20	Endpoint4	88.88888889
2	20	Endpoint4	36.71497585
2	20	Endpoint4	38.647343
2	20	Endpoint4	42.51207729
2	100	Endpoint4	56.03864734
2	100	Endpoint4	137.1980676
2	100	Endpoint4	233.8164251
2	100	Endpoint4	98.55072464
2	300	Endpoint4	305.3140097
2	300	Endpoint4	249.2753623
2	300	Endpoint4	363.2850242
2	300	Endpoint4	206.763285
9	0	Endpoint4	164.2512077
9	0	Endpoint4	92.75362319
9	0	Endpoint4	85.02415459
9	0	Endpoint4	57.97101449
9	4	Endpoint4	239.6135266
9	4	Endpoint4	73.42995169
9	4	Endpoint4	133.3333333
9	4	Endpoint4	415.4589372
9	20	Endpoint4	386.47343
9	20	Endpoint4	214.4927536
9	20	Endpoint4	272.4637681
9	20	Endpoint4	525.6038647
9	100	Endpoint4	67.63285024
9	100	Endpoint4	50.24154589
9	100	Endpoint4	44.44444444
9	100	Endpoint4	405.7971014
9	300	Endpoint4	170.0483092
9	300	Endpoint4	139.1304348
9	300	Endpoint4	197.1014493
9	300	Endpoint4	125.6038647
1	0	Endpoint4	98.80478088
1	0	Endpoint4	114.7410359
1	0	Endpoint4	55.77689243
1	0	Endpoint4	130.6772908
1	4	Endpoint4	57.37051793
1	4	Endpoint4	70.11952191
1	4	Endpoint4	82.8685259
1	4	Endpoint4	-23.90438247
1	20	Endpoint4	132.2709163
1	20	Endpoint4	371.314741
1	20	Endpoint4	49.40239044
1	20	Endpoint4	68.52589641
1	100	Endpoint4	114.7410359
1	100	Endpoint4	71.71314741
1	100	Endpoint4	49.40239044
1	100	Endpoint4	84.46215139
1	300	Endpoint4	90.83665339
1	300	Endpoint4	60.55776892
1	300	Endpoint4	141.8326693
1	300	Endpoint4	49.40239044
5	0	Endpoint4	98.80478088
5	0	Endpoint4	114.7410359
5	0	Endpoint4	55.77689243
5	0	Endpoint4	130.6772908
5	4	Endpoint4	52.58964143
5	4	Endpoint4	92.43027888
5	4	Endpoint4	103.5856574
5	4	Endpoint4	116.3346614
5	20	Endpoint4	122.7091633
5	20	Endpoint4	73.30677291
5	20	Endpoint4	127.4900398
5	20	Endpoint4	89.24302789
5	100	Endpoint4	43.02788845
5	100	Endpoint4	57.37051793
5	100	Endpoint4	97.21115538
5	100	Endpoint4	108.3665339
5	300	Endpoint4	334.661355
5	300	Endpoint4	156.175299
5	300	Endpoint4	266.135458
5	300	Endpoint4	407.968127
12	0	Endpoint4	98.80478088
12	0	Endpoint4	114.7410359
12	0	Endpoint4	55.77689243
12	0	Endpoint4	130.6772908
12	4	Endpoint4	81.2749004
12	4	Endpoint4	135.4581673
12	4	Endpoint4	116.3346614
12	4	Endpoint4	194.4223108
12	20	Endpoint4	52.5896414
12	20	Endpoint4	76.4940239
12	20	Endpoint4	62.1513944
12	20	Endpoint4	97.2111554
12	100	Endpoint4	358.5657371
12	100	Endpoint4	55.77689243
12	100	Endpoint4	57.37051793
12	100	Endpoint4	74.90039841
12	300	Endpoint4	130.6772908
12	300	Endpoint4	237.4501992
12	300	Endpoint4	192.8286853
12	300	Endpoint4	178.4860558
13	0	Endpoint4	98.80478088
13	0	Endpoint4	114.7410359
13	0	Endpoint4	55.77689243
13	0	Endpoint4	130.6772908
13	0.4	Endpoint4	266.1354582
13	0.4	Endpoint4	262.9482072
13	0.4	Endpoint4	557.7689243
13	0.4	Endpoint4	382.4701195
13	4	Endpoint4	385.657371
13	4	Endpoint4	113.14741
13	4	Endpoint4	116.334661
13	4	Endpoint4	226.294821
13	20	Endpoint4	58.96414343
13	20	Endpoint4	109.9601594
13	20	Endpoint4	218.3266932
13	20	Endpoint4	277.2908367
13	100	Endpoint4	132.2709163
13	100	Endpoint4	82.8685259
13	100	Endpoint4	70.11952191
13	100	Endpoint4	81.2749004
